Campaign,Ad Group,Keyword,Criterion Type,Keyword Status
GOOG_SEARCH_Brand_US_2026Q2,,jobs,Negative Phrase,Enabled
GOOG_SEARCH_Brand_US_2026Q2,,careers,Negative Phrase,Enabled
GOOG_SEARCH_Brand_US_2026Q2,,review,Negative Phrase,Enabled
GOOG_SEARCH_Brand_US_2026Q2,,reviews,Negative Phrase,Enabled
GOOG_SEARCH_Brand_US_2026Q2,,vs,Negative Phrase,Enabled
GOOG_SEARCH_Brand_AU_2026Q2,,jobs,Negative Phrase,Enabled
GOOG_SEARCH_Brand_AU_2026Q2,,careers,Negative Phrase,Enabled
GOOG_SEARCH_Brand_AU_2026Q2,,review,Negative Phrase,Enabled
GOOG_SEARCH_Brand_AU_2026Q2,,reviews,Negative Phrase,Enabled
GOOG_SEARCH_Brand_AU_2026Q2,,vs,Negative Phrase,Enabled
GOOG_SEARCH_NonBrand_US_2026Q2,,free,Negative Phrase,Enabled
GOOG_SEARCH_NonBrand_US_2026Q2,,crack,Negative Phrase,Enabled
GOOG_SEARCH_NonBrand_US_2026Q2,,tutorial,Negative Phrase,Enabled
GOOG_SEARCH_NonBrand_US_2026Q2,,tutorial youtube,Negative Phrase,Enabled
GOOG_SEARCH_NonBrand_US_2026Q2,,course,Negative Phrase,Enabled
GOOG_SEARCH_NonBrand_US_2026Q2,,training,Negative Phrase,Enabled
GOOG_SEARCH_NonBrand_US_2026Q2,,certification,Negative Phrase,Enabled
GOOG_SEARCH_NonBrand_US_2026Q2,,jobs,Negative Phrase,Enabled
GOOG_SEARCH_NonBrand_US_2026Q2,,careers,Negative Phrase,Enabled
GOOG_SEARCH_NonBrand_US_2026Q2,,salary,Negative Phrase,Enabled
GOOG_SEARCH_NonBrand_US_2026Q2,,recruiter jobs,Negative Phrase,Enabled
GOOG_SEARCH_NonBrand_US_2026Q2,,recruiter salary,Negative Phrase,Enabled
GOOG_SEARCH_NonBrand_US_2026Q2,,resume builder,Negative Phrase,Enabled
GOOG_SEARCH_NonBrand_US_2026Q2,,cv template,Negative Phrase,Enabled
GOOG_SEARCH_NonBrand_US_2026Q2,,cv builder,Negative Phrase,Enabled
GOOG_SEARCH_NonBrand_US_2026Q2,,resume template,Negative Phrase,Enabled
GOOG_SEARCH_NonBrand_US_2026Q2,,how to write,Negative Phrase,Enabled
GOOG_SEARCH_NonBrand_US_2026Q2,,interview tips,Negative Phrase,Enabled
GOOG_SEARCH_NonBrand_US_2026Q2,,how to become,Negative Phrase,Enabled
GOOG_SEARCH_NonBrand_US_2026Q2,,how to be,Negative Phrase,Enabled
GOOG_SEARCH_NonBrand_US_2026Q2,,chatgpt,Negative Phrase,Enabled
GOOG_SEARCH_NonBrand_US_2026Q2,,gpt,Negative Phrase,Enabled
GOOG_SEARCH_NonBrand_US_2026Q2,,generic ai,Negative Phrase,Enabled
GOOG_SEARCH_NonBrand_US_2026Q2,,recruitcrm reviews,Negative Phrase,Enabled
GOOG_SEARCH_NonBrand_US_2026Q2,,recruit crm reviews,Negative Phrase,Enabled
GOOG_SEARCH_NonBrand_US_2026Q2,,bullhorn reviews,Negative Phrase,Enabled
GOOG_SEARCH_NonBrand_US_2026Q2,,jobadder reviews,Negative Phrase,Enabled
GOOG_SEARCH_NonBrand_US_2026Q2,,loxo reviews,Negative Phrase,Enabled
GOOG_SEARCH_NonBrand_US_2026Q2,,crelate reviews,Negative Phrase,Enabled
GOOG_SEARCH_NonBrand_US_2026Q2,,vincere reviews,Negative Phrase,Enabled
GOOG_SEARCH_NonBrand_US_2026Q2,,manatal reviews,Negative Phrase,Enabled
GOOG_SEARCH_NonBrand_US_2026Q2,,greenhouse reviews,Negative Phrase,Enabled
GOOG_SEARCH_NonBrand_US_2026Q2,,lever reviews,Negative Phrase,Enabled
GOOG_SEARCH_NonBrand_US_2026Q2,,bullhorn login,Negative Phrase,Enabled
GOOG_SEARCH_NonBrand_US_2026Q2,,bullhorn support,Negative Phrase,Enabled
GOOG_SEARCH_NonBrand_US_2026Q2,,recruitcrm login,Negative Phrase,Enabled
GOOG_SEARCH_NonBrand_US_2026Q2,,recruit crm login,Negative Phrase,Enabled
GOOG_SEARCH_NonBrand_US_2026Q2,,jobadder login,Negative Phrase,Enabled
GOOG_SEARCH_NonBrand_US_2026Q2,,loxo login,Negative Phrase,Enabled
GOOG_SEARCH_NonBrand_US_2026Q2,,vincere login,Negative Phrase,Enabled
GOOG_SEARCH_NonBrand_US_2026Q2,,manatal login,Negative Phrase,Enabled
GOOG_SEARCH_NonBrand_US_2026Q2,,crelate login,Negative Phrase,Enabled
GOOG_SEARCH_NonBrand_US_2026Q2,,greenhouse login,Negative Phrase,Enabled
GOOG_SEARCH_NonBrand_US_2026Q2,,lever login,Negative Phrase,Enabled
GOOG_SEARCH_NonBrand_US_2026Q2,,greenhouse jobs,Negative Phrase,Enabled
GOOG_SEARCH_NonBrand_US_2026Q2,,lever careers,Negative Phrase,Enabled
GOOG_SEARCH_NonBrand_US_2026Q2,,jobadder jobs,Negative Phrase,Enabled
GOOG_SEARCH_NonBrand_US_2026Q2,,bullhorn jobs,Negative Phrase,Enabled
GOOG_SEARCH_NonBrand_AU_2026Q2,,free,Negative Phrase,Enabled
GOOG_SEARCH_NonBrand_AU_2026Q2,,crack,Negative Phrase,Enabled
GOOG_SEARCH_NonBrand_AU_2026Q2,,tutorial,Negative Phrase,Enabled
GOOG_SEARCH_NonBrand_AU_2026Q2,,tutorial youtube,Negative Phrase,Enabled
GOOG_SEARCH_NonBrand_AU_2026Q2,,course,Negative Phrase,Enabled
GOOG_SEARCH_NonBrand_AU_2026Q2,,training,Negative Phrase,Enabled
GOOG_SEARCH_NonBrand_AU_2026Q2,,certification,Negative Phrase,Enabled
GOOG_SEARCH_NonBrand_AU_2026Q2,,jobs,Negative Phrase,Enabled
GOOG_SEARCH_NonBrand_AU_2026Q2,,careers,Negative Phrase,Enabled
GOOG_SEARCH_NonBrand_AU_2026Q2,,salary,Negative Phrase,Enabled
GOOG_SEARCH_NonBrand_AU_2026Q2,,recruiter jobs,Negative Phrase,Enabled
GOOG_SEARCH_NonBrand_AU_2026Q2,,recruiter salary,Negative Phrase,Enabled
GOOG_SEARCH_NonBrand_AU_2026Q2,,resume builder,Negative Phrase,Enabled
GOOG_SEARCH_NonBrand_AU_2026Q2,,cv template,Negative Phrase,Enabled
GOOG_SEARCH_NonBrand_AU_2026Q2,,cv builder,Negative Phrase,Enabled
GOOG_SEARCH_NonBrand_AU_2026Q2,,resume template,Negative Phrase,Enabled
GOOG_SEARCH_NonBrand_AU_2026Q2,,how to write,Negative Phrase,Enabled
GOOG_SEARCH_NonBrand_AU_2026Q2,,interview tips,Negative Phrase,Enabled
GOOG_SEARCH_NonBrand_AU_2026Q2,,how to become,Negative Phrase,Enabled
GOOG_SEARCH_NonBrand_AU_2026Q2,,how to be,Negative Phrase,Enabled
GOOG_SEARCH_NonBrand_AU_2026Q2,,chatgpt,Negative Phrase,Enabled
GOOG_SEARCH_NonBrand_AU_2026Q2,,gpt,Negative Phrase,Enabled
GOOG_SEARCH_NonBrand_AU_2026Q2,,generic ai,Negative Phrase,Enabled
GOOG_SEARCH_NonBrand_AU_2026Q2,,recruitcrm reviews,Negative Phrase,Enabled
GOOG_SEARCH_NonBrand_AU_2026Q2,,bullhorn reviews,Negative Phrase,Enabled
GOOG_SEARCH_NonBrand_AU_2026Q2,,jobadder reviews,Negative Phrase,Enabled
GOOG_SEARCH_NonBrand_AU_2026Q2,,loxo reviews,Negative Phrase,Enabled
GOOG_SEARCH_NonBrand_AU_2026Q2,,crelate reviews,Negative Phrase,Enabled
GOOG_SEARCH_NonBrand_AU_2026Q2,,vincere reviews,Negative Phrase,Enabled
GOOG_SEARCH_NonBrand_AU_2026Q2,,manatal reviews,Negative Phrase,Enabled
GOOG_SEARCH_NonBrand_AU_2026Q2,,greenhouse reviews,Negative Phrase,Enabled
GOOG_SEARCH_NonBrand_AU_2026Q2,,lever reviews,Negative Phrase,Enabled
GOOG_SEARCH_NonBrand_AU_2026Q2,,bullhorn login,Negative Phrase,Enabled
GOOG_SEARCH_NonBrand_AU_2026Q2,,jobadder login,Negative Phrase,Enabled
GOOG_SEARCH_NonBrand_AU_2026Q2,,loxo login,Negative Phrase,Enabled
GOOG_SEARCH_NonBrand_AU_2026Q2,,vincere login,Negative Phrase,Enabled
GOOG_SEARCH_NonBrand_AU_2026Q2,,manatal login,Negative Phrase,Enabled
GOOG_SEARCH_NonBrand_AU_2026Q2,,crelate login,Negative Phrase,Enabled
GOOG_SEARCH_NonBrand_AU_2026Q2,,greenhouse jobs,Negative Phrase,Enabled
GOOG_SEARCH_NonBrand_AU_2026Q2,,jobadder jobs,Negative Phrase,Enabled
GOOG_SEARCH_NonBrand_AU_2026Q2,,bullhorn jobs,Negative Phrase,Enabled
GOOG_SEARCH_Competitor_US_2026Q2,,free,Negative Phrase,Enabled
GOOG_SEARCH_Competitor_US_2026Q2,,crack,Negative Phrase,Enabled
GOOG_SEARCH_Competitor_US_2026Q2,,tutorial,Negative Phrase,Enabled
GOOG_SEARCH_Competitor_US_2026Q2,,jobs,Negative Phrase,Enabled
GOOG_SEARCH_Competitor_US_2026Q2,,careers,Negative Phrase,Enabled
GOOG_SEARCH_Competitor_US_2026Q2,,salary,Negative Phrase,Enabled
GOOG_SEARCH_Competitor_US_2026Q2,,login,Negative Phrase,Enabled
GOOG_SEARCH_Competitor_US_2026Q2,,support,Negative Phrase,Enabled
GOOG_SEARCH_Competitor_US_2026Q2,,reviews,Negative Phrase,Enabled
GOOG_SEARCH_Competitor_US_2026Q2,,how to,Negative Phrase,Enabled
GOOG_SEARCH_Competitor_AU_2026Q2,,free,Negative Phrase,Enabled
GOOG_SEARCH_Competitor_AU_2026Q2,,crack,Negative Phrase,Enabled
GOOG_SEARCH_Competitor_AU_2026Q2,,tutorial,Negative Phrase,Enabled
GOOG_SEARCH_Competitor_AU_2026Q2,,jobs,Negative Phrase,Enabled
GOOG_SEARCH_Competitor_AU_2026Q2,,careers,Negative Phrase,Enabled
GOOG_SEARCH_Competitor_AU_2026Q2,,salary,Negative Phrase,Enabled
GOOG_SEARCH_Competitor_AU_2026Q2,,login,Negative Phrase,Enabled
GOOG_SEARCH_Competitor_AU_2026Q2,,support,Negative Phrase,Enabled
GOOG_SEARCH_Competitor_AU_2026Q2,,reviews,Negative Phrase,Enabled
GOOG_SEARCH_Competitor_AU_2026Q2,,how to,Negative Phrase,Enabled
